GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SIGCB-QR API,com.sigcbqr.config,OpenApiConfig,0,58,0,0,0,20,0,2,0,2
SIGCB-QR API,com.sigcbqr.config,SecurityConfig,0,192,0,0,0,26,0,9,0,9
SIGCB-QR API,com.sigcbqr.config,CacheConfig,0,22,0,0,0,9,0,2,0,2
SIGCB-QR API,com.sigcbqr.config,SchedulingConfig,0,3,0,0,0,1,0,1,0,1
SIGCB-QR API,com.sigcbqr.config,CorsConfig,0,49,0,0,0,10,0,2,0,2
SIGCB-QR API,com.sigcbqr.controller,ConfiguracionController.ConfiguracionRequest,3,0,0,0,1,0,1,0,1,0
SIGCB-QR API,com.sigcbqr.controller,DashboardController,65,6,2,0,10,3,3,1,2,1
SIGCB-QR API,com.sigcbqr.controller,SancionController,43,0,0,0,6,0,5,0,5,0
SIGCB-QR API,com.sigcbqr.controller,UsuarioController,63,6,6,0,12,3,8,1,5,1
SIGCB-QR API,com.sigcbqr.controller,NotificacionController,61,0,0,0,10,0,6,0,6,0
SIGCB-QR API,com.sigcbqr.controller,ReservaController,223,187,22,10,37,46,22,6,7,5
SIGCB-QR API,com.sigcbqr.controller,ReporteController,10,11,0,0,2,4,2,2,2,2
SIGCB-QR API,com.sigcbqr.controller,LibroController,30,61,4,8,6,12,7,6,3,4
SIGCB-QR API,com.sigcbqr.controller,AuditoriaController,10,76,3,7,1,22,3,5,0,3
SIGCB-QR API,com.sigcbqr.controller,PrestamoController,177,6,20,0,33,3,21,1,11,1
SIGCB-QR API,com.sigcbqr.controller,ConfiguracionController,39,6,0,0,7,3,3,1,3,1
SIGCB-QR API,com.sigcbqr.controller,MultaController,81,69,5,3,11,20,7,4,3,4
SIGCB-QR API,com.sigcbqr.controller,InventarioController,103,6,8,0,21,3,10,1,6,1
SIGCB-QR API,com.sigcbqr.controller,CatalogoController,137,113,2,0,24,28,14,6,13,6
SIGCB-QR API,com.sigcbqr.controller,QrCodigoController,53,0,0,0,7,0,6,0,6,0
SIGCB-QR API,com.sigcbqr.controller,AuthController,78,78,4,0,19,23,4,3,2,3
SIGCB-QR API,com.sigcbqr.controller,PerfilController,0,57,0,0,0,17,0,3,0,3
SIGCB-QR API,com.sigcbqr,SigcbQrApplication,5,3,0,0,2,1,1,1,1,1
SIGCB-QR API,com.sigcbqr.service,DashboardService,237,1131,29,43,43,239,25,36,6,19
SIGCB-QR API,com.sigcbqr.service,AuditoriaService,53,9,6,0,17,4,5,1,2,1
SIGCB-QR API,com.sigcbqr.service,PrestamoService,251,567,23,23,36,134,29,19,14,11
SIGCB-QR API,com.sigcbqr.service,NotificacionProgramadaService,0,241,0,18,0,54,0,15,0,6
SIGCB-QR API,com.sigcbqr.service,RateLimitService,74,29,16,0,13,9,11,2,3,2
SIGCB-QR API,com.sigcbqr.service,NotificacionProgramadaService.NotificacionRecurso,0,26,0,0,0,2,0,2,0,2
SIGCB-QR API,com.sigcbqr.service,ReporteService,146,15,0,0,30,6,5,1,5,1
SIGCB-QR API,com.sigcbqr.service,AuthService,172,283,11,23,29,72,20,11,9,5
SIGCB-QR API,com.sigcbqr.service,UsuarioService,27,333,8,26,0,70,10,20,2,11
SIGCB-QR API,com.sigcbqr.service,NotificacionService,95,162,4,4,19,39,11,8,8,7
SIGCB-QR API,com.sigcbqr.service,LibroService,226,278,18,14,36,63,24,12,12,8
SIGCB-QR API,com.sigcbqr.service,QrCodigoService,12,284,3,15,1,57,4,19,1,13
SIGCB-QR API,com.sigcbqr.service,SancionService,50,187,3,5,7,52,7,6,5,4
SIGCB-QR API,com.sigcbqr.security,JwtTokenProvider,73,177,11,1,18,50,12,9,6,9
SIGCB-QR API,com.sigcbqr.security,JwtAuthenticationEntryPoint,0,42,0,0,0,11,0,2,0,2
SIGCB-QR API,com.sigcbqr.security,JwtBlacklistService,0,23,0,0,0,8,0,4,0,4
SIGCB-QR API,com.sigcbqr.security,JwtAuthenticationFilter,49,24,1,3,8,7,1,3,0,2
SIGCB-QR API,com.sigcbqr.security,CustomUserDetailsService,41,6,0,0,10,3,2,1,2,1
SIGCB-QR API,com.sigcbqr.security,UserPrincipal,11,34,1,1,4,4,5,4,4,4
SIGCB-QR API,com.sigcbqr.model.dto.response,PageResponse,0,24,0,0,0,9,0,1,0,1
